Model,Pipeline,Representation,Accuracy,Precision,Recall,F1-Score,Inference_Time_Seconds,Average_Inference_Time_Per_Sample,representation
LogisticRegression,pipeline_0,BagOfWords,0.8864,0.8785266457680251,0.8968,0.88756927949327,0.0009992122650146,3.996849060058594e-07,Bag_of_Words
NaiveBayes,pipeline_0,BagOfWords,0.8368,0.858603066439523,0.8064,0.8316831683168316,0.0009999275207519,3.999710083007813e-07,Bag_of_Words
LogisticRegression,pipeline_1,BagOfWords,0.8752,0.8658346333853354,0.888,0.8767772511848341,0.0010333061218261,4.133224487304688e-07,Bag_of_Words
NaiveBayes,pipeline_1,BagOfWords,0.8468,0.8573784006595219,0.832,0.8444985789687373,0.0009975433349609,3.99017333984375e-07,Bag_of_Words
LogisticRegression,pipeline_2,BagOfWords,0.8752,0.8658346333853354,0.888,0.8767772511848341,0.0011630058288574,4.652023315429688e-07,Bag_of_Words
NaiveBayes,pipeline_2,BagOfWords,0.8468,0.8573784006595219,0.832,0.8444985789687373,0.0010006427764892,4.002571105957033e-07,Bag_of_Words
LogisticRegression,pipeline_3,BagOfWords,0.8752,0.8658346333853354,0.888,0.8767772511848341,0.0010008811950683,4.003524780273438e-07,Bag_of_Words
NaiveBayes,pipeline_3,BagOfWords,0.8468,0.8573784006595219,0.832,0.8444985789687373,0.0015044212341308,6.017684936523438e-07,Bag_of_Words
LogisticRegression,pipeline_2,BagOfWords,0.8752,0.8658346333853354,0.888,0.8767772511848341,0.0,0.0,Bag_of_Words
NaiveBayes,pipeline_2,BagOfWords,0.8468,0.8573784006595219,0.832,0.8444985789687373,0.0015051364898681,6.020545959472656e-07,Bag_of_Words
LogisticRegression,pipeline_0,TF-IDF,0.89,0.874136607828089,0.9112,0.8922835879357619,0.001009464263916,4.037857055664064e-07,TF_IDF
NaiveBayes,pipeline_0,TF-IDF,0.858,0.867104183757178,0.8456,0.8562170919400567,0.0010075569152832,4.0302276611328123e-07,TF_IDF
LogisticRegression,pipeline_1,TF-IDF,0.892,0.8729071537290716,0.9176,0.8946957878315133,0.0015058517456054,6.023406982421875e-07,TF_IDF
NaiveBayes,pipeline_1,TF-IDF,0.8548,0.8562248995983935,0.8528,0.8545090180360722,0.0009987354278564,3.994941711425781e-07,TF_IDF
LogisticRegression,pipeline_2,TF-IDF,0.892,0.8729071537290716,0.9176,0.8946957878315133,0.0009987354278564,3.994941711425781e-07,TF_IDF
NaiveBayes,pipeline_2,TF-IDF,0.8548,0.8562248995983935,0.8528,0.8545090180360722,0.0009987354278564,3.994941711425781e-07,TF_IDF
LogisticRegression,pipeline_3,TF-IDF,0.892,0.8729071537290716,0.9176,0.8946957878315133,0.0,0.0,TF_IDF
NaiveBayes,pipeline_3,TF-IDF,0.8548,0.8562248995983935,0.8528,0.8545090180360722,0.0009994506835937,3.997802734375e-07,TF_IDF
LogisticRegression,pipeline_0,Word2Vec,0.83,0.8245476003147129,0.8384,0.8314161047203491,0.0023145675659179,9.258270263671876e-07,Word2Vec
SVM,pipeline_0,Word2Vec,0.8388,0.8326787117046347,0.848,0.8402695204122077,0.0025978088378906,1.03912353515625e-06,Word2Vec
LogisticRegression,pipeline_1,Word2Vec,0.842,0.8301158301158301,0.86,0.8447937131630648,0.0040016174316406,1.60064697265625e-06,Word2Vec
SVM,pipeline_1,Word2Vec,0.852,0.8384615384615385,0.872,0.8549019607843137,0.0025186538696289,1.0074615478515625e-06,Word2Vec
LogisticRegression,pipeline_2,Word2Vec,0.848,0.8372093023255814,0.864,0.8503937007874016,0.0035271644592285,1.4108657836914063e-06,Word2Vec
SVM,pipeline_2,Word2Vec,0.8568,0.8425499231950845,0.8776,0.859717868338558,0.0029995441436767,1.1998176574707031e-06,Word2Vec
LogisticRegression,pipeline_3,Word2Vec,0.8492,0.8381099922540666,0.8656,0.8516332152695789,0.0020012855529785,8.005142211914063e-07,Word2Vec
SVM,pipeline_3,Word2Vec,0.858,0.8460943542150039,0.8752,0.8604011010617381,0.0020046234130859,8.01849365234375e-07,Word2Vec
LogisticRegression,pipeline_1,BERT_CLS_Frozen,0.8128,0.8168557536466775,0.8064,0.8115942028985508,0.0079987049102783,3.1994819641113283e-06,BERT
SVM,pipeline_1,BERT_CLS_Frozen,0.8148,0.8175948345439871,0.8104,0.8139815186822017,0.0066919326782226,2.6767730712890625e-06,BERT
LogisticRegression,pipeline_1,BERT_Mean_Frozen,0.8468,0.8459696727853152,0.848,0.8469836196564123,0.0069937705993652,2.797508239746093e-06,BERT
SVM,pipeline_1,BERT_Mean_Frozen,0.8404,0.8379666401906275,0.844,0.8409724990035871,0.0070033073425292,2.8013229370117185e-06,BERT
BERT_Finetuned,pipeline_1,BERT_Finetuned,0.9164,0.9050583657587548,0.9304,0.9175542406311638,26.138097286224365,0.0104552389144897,BERT
LogisticRegression,pipeline_2,BERT_CLS_Frozen,0.8128,0.8168557536466775,0.8064,0.8115942028985508,0.0192101001739501,7.684040069580078e-06,BERT
SVM,pipeline_2,BERT_CLS_Frozen,0.8148,0.8175948345439871,0.8104,0.8139815186822017,0.0135235786437988,5.409431457519531e-06,BERT
LogisticRegression,pipeline_2,BERT_Mean_Frozen,0.8468,0.8459696727853152,0.848,0.8469836196564123,0.0107138156890869,4.285526275634765e-06,BERT
SVM,pipeline_2,BERT_Mean_Frozen,0.8404,0.8379666401906275,0.844,0.8409724990035871,0.0109286308288574,4.371452331542969e-06,BERT
BERT_Finetuned,pipeline_2,BERT_Finetuned,0.9156,0.9074509803921568,0.9256,0.9164356435643564,25.140355110168457,0.0100561420440673,BERT
LogisticRegression,pipeline_3,BERT_CLS_Frozen,0.8128,0.8168557536466775,0.8064,0.8115942028985508,0.0085155963897705,3.406238555908203e-06,BERT
SVM,pipeline_3,BERT_CLS_Frozen,0.8148,0.8175948345439871,0.8104,0.8139815186822017,0.0065150260925292,2.606010437011719e-06,BERT
LogisticRegression,pipeline_3,BERT_Mean_Frozen,0.8468,0.8459696727853152,0.848,0.8469836196564123,0.0075058937072753,3.0023574829101564e-06,BERT
SVM,pipeline_3,BERT_Mean_Frozen,0.8404,0.8379666401906275,0.844,0.8409724990035871,0.0060043334960937,2.4017333984375e-06,BERT
BERT_Finetuned,pipeline_3,BERT_Finetuned,0.9156,0.9055425448868072,0.928,0.916633741604109,27.802525281906128,0.0111210101127624,BERT
LogisticRegression,pipeline_0,BERT_CLS_Frozen,0.8484,0.8514931396287329,0.844,0.8477300120530333,0.0146193504333496,5.847740173339844e-06,BERT
SVM,pipeline_0,BERT_CLS_Frozen,0.8464,0.851461038961039,0.8392,0.8452860596293312,0.0125524997711181,5.0209999084472655e-06,BERT
LogisticRegression,pipeline_0,BERT_Mean_Frozen,0.86,0.8611556982343499,0.8584,0.8597756410256411,0.0116870403289794,4.674816131591797e-06,BERT
SVM,pipeline_0,BERT_Mean_Frozen,0.8632,0.8643659711075441,0.8616,0.8629807692307693,0.0115010738372802,4.600429534912109e-06,BERT
LogisticRegression,pipeline_0,BERT_CLS_Frozen,0.8484,0.8514931396287329,0.844,0.8477300120530333,0.0187036991119384,7.481479644775391e-06,BERT
SVM,pipeline_0,BERT_CLS_Frozen,0.8464,0.851461038961039,0.8392,0.8452860596293312,0.0152688026428222,6.1075210571289066e-06,BERT
